# Существительное

N:0:pA	NCXXNXXAP
V:Part:II+:act:p:msN	PARIMNSF
V:Part:II+:act:p:nsA	PARINASF
V:Part:II+:act:p:nsD	PARINDSF
V:Part:II+:act:p:nsG	PARINGSF
V:Part:II+:act:p:nsI	PARINISF
V:Part:II+:act:p:nsL	PARINLSF
V:Part:II+:act:p:nsN	PARINNSF
	
V:Part:IT-:act:p:0pA	PARIXAPF
V:Part:IT-:act:p:0pD	PARIXDPF
V:Part:IT-:act:p:0pG	PARIXGPF
V:Part:IT-:act:p:0pI	PARIXIPF
V:Part:IT-:act:p:0pL	PARIXLPF
V:Part:IT-:act:p:0pN	PARIXNPF
V:Part:IT-:act:p:fsA	PARIFASF
V:Part:IT-:act:p:fsD	PARIFDSF
V:Part:IT-:act:p:fsG	PARIFGSF
V:Part:IT-:act:p:fsI	PARIFISF
V:Part:IT-:act:p:fsL	PARIFLSF
V:Part:IT-:act:p:fsN	PARIFNSF
V:Part:IT-:act:p:msA	PARIMASF
V:Part:IT-:act:p:msD	PARIMDSF
V:Part:IT-:act:p:msG	PARIMGSF
V:Part:IT-:act:p:msI	PARIMISF
V:Part:IT-:act:p:msL	PARIMLSF
V:Part:IT-:act:p:msN	PARIMNSF
V:Part:IT-:act:p:nsA	PARINASF
V:Part:IT-:act:p:nsD	PARINDSF
V:Part:IT-:act:p:nsG	PARINGSF
V:Part:IT-:act:p:nsI	PARINISF
V:Part:IT-:act:p:nsL	PARINLSF
V:Part:IT-:act:p:nsN	PARINNSF
	
V:Part:IT+:act:p:0pA	PARIXAPF
V:Part:IT+:act:p:0pD	PARIXDPF
V:Part:IT+:act:p:0pG	PARIXGPF
V:Part:IT+:act:p:0pI	PARIXIPF
V:Part:IT+:act:p:0pL	PARIXLPF
V:Part:IT+:act:p:0pN	PARIXNPF
V:Part:IT+:act:p:fsA	PARIFASF
V:Part:IT+:act:p:fsD	PARIFDSF
V:Part:IT+:act:p:fsG	PARIFGSF
V:Part:IT+:act:p:fsI	PARIFISF
V:Part:IT+:act:p:fsL	PARIFLSF
V:Part:IT+:act:p:fsN	PARIFNSF
V:Part:IT+:act:p:msA	PARIMASF
V:Part:IT+:act:p:msD	PARIMDSF
V:Part:IT+:act:p:msG	PARIMGSF
V:Part:IT+:act:p:msI	PARIMISF
V:Part:IT+:act:p:msL	PARIMLSF
V:Part:IT+:act:p:msN	PARIMNSF
V:Part:IT+:act:p:nsA	PARINASF
V:Part:IT+:act:p:nsD	PARINDSF
V:Part:IT+:act:p:nsG	PARINGSF
V:Part:IT+:act:p:nsI	PARINISF
V:Part:IT+:act:p:nsL	PARINLSF
V:Part:IT+:act:p:nsN	PARINNSF

V:Part:PD-:act:p:0pA	PARPXAPF
V:Part:PD-:act:p:0pD	PARPXDPF
V:Part:PD-:act:p:0pG	PARPXGPF
V:Part:PD-:act:p:0pI	PARPXIPF
V:Part:PD-:act:p:0pL	PARPXLPF
V:Part:PD-:act:p:0pN	PARPXNPF
V:Part:PD-:act:p:fsA	PARPFASF
V:Part:PD-:act:p:fsD	PARPFDSF
V:Part:PD-:act:p:fsG	PARPFGSF
V:Part:PD-:act:p:fsI	PARPFISF
V:Part:PD-:act:p:fsL	PARPFLSF
V:Part:PD-:act:p:fsN	PARPFNSF
V:Part:PD-:act:p:msA	PARPMASF
V:Part:PD-:act:p:msD	PARPMDSF
V:Part:PD-:act:p:msG	PARPMGSF
V:Part:PD-:act:p:msI	PARPMISF
V:Part:PD-:act:p:msL	PARPMLSF
V:Part:PD-:act:p:msN	PARPMNSF
V:Part:PD-:act:p:nsA	PARPNASF
V:Part:PD-:act:p:nsD	PARPNDSF
V:Part:PD-:act:p:nsG	PARPNGSF
V:Part:PD-:act:p:nsI	PARPNISF
V:Part:PD-:act:p:nsL	PARPNLSF
V:Part:PD-:act:p:nsN	PARPNNSF

V:Part:PI-:act:p:0pA	PARPXAPF
V:Part:PI-:act:p:0pD	PARPXDPF
V:Part:PI-:act:p:0pG	PARPXGPF
V:Part:PI-:act:p:0pI	PARPXIPF
V:Part:PI-:act:p:0pL	PARPXLPF
V:Part:PI-:act:p:0pN	PARPXNPF
V:Part:PI-:act:p:fsA	PARPFASF
V:Part:PI-:act:p:fsD	PARPFDSF
V:Part:PI-:act:p:fsG	PARPFGSF
V:Part:PI-:act:p:fsI	PARPFISF
V:Part:PI-:act:p:fsL	PARPFLSF
V:Part:PI-:act:p:fsN	PARPFNSF
V:Part:PI-:act:p:msA	PARPMASF
V:Part:PI-:act:p:msD	PARPMDSF
V:Part:PI-:act:p:msG	PARPMGSF
V:Part:PI-:act:p:msI	PARPMISF
V:Part:PI-:act:p:msL	PARPMLSF
V:Part:PI-:act:p:msN	PARPMNSF
V:Part:PI-:act:p:nsA	PARPNASF
V:Part:PI-:act:p:nsD	PARPNDSF
V:Part:PI-:act:p:nsG	PARPNGSF
V:Part:PI-:act:p:nsI	PARPNISF
V:Part:PI-:act:p:nsL	PARPNLSF
V:Part:PI-:act:p:nsN	PARPNNSF

V:Part:PI+:act:p:0pA	PARPXAPF
V:Part:PI+:act:p:0pD	PARPXDPF
V:Part:PI+:act:p:0pG	PARPXGPF
V:Part:PI+:act:p:0pI	PARPXIPF
V:Part:PI+:act:p:0pL	PARPXLPF
V:Part:PI+:act:p:0pN	PARPXNPF
V:Part:PI+:act:p:fsA	PARPFASF
V:Part:PI+:act:p:fsD	PARPFDSF
V:Part:PI+:act:p:fsG	PARPFGSF
V:Part:PI+:act:p:fsI	PARPFISF
V:Part:PI+:act:p:fsL	PARPFLSF
V:Part:PI+:act:p:fsN	PARPFNSF
V:Part:PI+:act:p:msA	PARPMASF
V:Part:PI+:act:p:msD	PARPMDSF
V:Part:PI+:act:p:msG	PARPMGSF
V:Part:PI+:act:p:msI	PARPMISF
V:Part:PI+:act:p:msL	PARPMLSF
V:Part:PI+:act:p:msN	PARPMNSF
V:Part:PI+:act:p:nsA	PARPNASF
V:Part:PI+:act:p:nsD	PARPNDSF
V:Part:PI+:act:p:nsG	PARPNGSF
V:Part:PI+:act:p:nsI	PARPNISF
V:Part:PI+:act:p:nsL	PARPNLSF
V:Part:PI+:act:p:nsN	PARPNNSF

V:Part:PT-:act:p:0pA	PARPXAPF
V:Part:PT-:act:p:0pD	PARPXDPF
V:Part:PT-:act:p:0pG	PARPXGPF
V:Part:PT-:act:p:0pI	PARPXIPF
V:Part:PT-:act:p:0pL	PARPXLPF
V:Part:PT-:act:p:0pN	PARPXNPF
V:Part:PT-:act:p:fsA	PARPFASF
V:Part:PT-:act:p:fsD	PARPFDSF
V:Part:PT-:act:p:fsG	PARPFGSF
V:Part:PT-:act:p:fsI	PARPFISF
V:Part:PT-:act:p:fsL	PARPFLSF
V:Part:PT-:act:p:fsN	PARPFNSF
V:Part:PT-:act:p:msA	PARPMASF
V:Part:PT-:act:p:msD	PARPMDSF
V:Part:PT-:act:p:msG	PARPMGSF
V:Part:PT-:act:p:msI	PARPMISF
V:Part:PT-:act:p:msL	PARPMLSF
V:Part:PT-:act:p:msN	PARPMNSF
V:Part:PT-:act:p:nsA	PARPNASF
V:Part:PT-:act:p:nsD	PARPNDSF
V:Part:PT-:act:p:nsG	PARPNGSF
V:Part:PT-:act:p:nsI	PARPNISF
V:Part:PT-:act:p:nsL	PARPNLSF
V:Part:PT-:act:p:nsN	PARPNNSF

V:Part:PT+:act:p:0pA	PARPXAPF
V:Part:PT+:act:p:0pD	PARPXDPF
V:Part:PT+:act:p:0pG	PARPXGPF
V:Part:PT+:act:p:0pI	PARPXIPF
V:Part:PT+:act:p:0pL	PARPXLPF
V:Part:PT+:act:p:0pN	PARPXNPF
V:Part:PT+:act:p:fsA	PARPFASF
V:Part:PT+:act:p:fsD	PARPFDSF
V:Part:PT+:act:p:fsG	PARPFGSF
V:Part:PT+:act:p:fsI	PARPFISF
V:Part:PT+:act:p:fsL	PARPFLSF
V:Part:PT+:act:p:fsN	PARPFNSF
V:Part:PT+:act:p:msA	PARPMASF
V:Part:PT+:act:p:msD	PARPMDSF
V:Part:PT+:act:p:msG	PARPMGSF
V:Part:PT+:act:p:msI	PARPMISF
V:Part:PT+:act:p:msL	PARPMLSF
V:Part:PT+:act:p:msN	PARPMNSF
V:Part:PT+:act:p:nsA	PARPNASF
V:Part:PT+:act:p:nsD	PARPNDSF
V:Part:PT+:act:p:nsG	PARPNGSF
V:Part:PT+:act:p:nsI	PARPNISF
V:Part:PT+:act:p:nsL	PARPNLSF
V:Part:PT+:act:p:nsN	PARPNNSF

V:Part:DD-:act:a:0pA	PAPDXAPF
V:Part:DD-:act:a:0pD	PAPDXDPF
V:Part:DD-:act:a:0pG	PAPDXGPF
V:Part:DD-:act:a:0pI	PAPDXIPF
V:Part:DD-:act:a:0pL	PAPDXLPF
V:Part:DD-:act:a:0pN	PAPDXNPF
V:Part:DD-:act:a:fsA	PAPDFASF
V:Part:DD-:act:a:fsD	PAPDFDSF
V:Part:DD-:act:a:fsG	PAPDFGSF
V:Part:DD-:act:a:fsI	PAPDFISF
V:Part:DD-:act:a:fsL	PAPDFLSF
V:Part:DD-:act:a:fsN	PAPDFNSF
V:Part:DD-:act:a:msA	PAPDMASF
V:Part:DD-:act:a:msD	PAPDMDSF
V:Part:DD-:act:a:msG	PAPDMGSF
V:Part:DD-:act:a:msI	PAPDMISF
V:Part:DD-:act:a:msL	PAPDMLSF
V:Part:DD-:act:a:msN	PAPDMNSF
V:Part:DD-:act:a:nsA	PAPDNASF
V:Part:DD-:act:a:nsD	PAPDNDSF
V:Part:DD-:act:a:nsG	PAPDNGSF
V:Part:DD-:act:a:nsI	PAPDNISF
V:Part:DD-:act:a:nsL	PAPDNLSF
V:Part:DD-:act:a:nsN	PAPDNNSF
	
V:Part:DI-:act:a:0pA	PAPDXAPF
V:Part:DI-:act:a:0pD	PAPDXDPF
V:Part:DI-:act:a:0pG	PAPDXGPF
V:Part:DI-:act:a:0pI	PAPDXIPF
V:Part:DI-:act:a:0pL	PAPDXLPF
V:Part:DI-:act:a:0pN	PAPDXNPF
V:Part:DI-:act:a:fsA	PAPDFASF
V:Part:DI-:act:a:fsD	PAPDFDSF
V:Part:DI-:act:a:fsG	PAPDFGSF
V:Part:DI-:act:a:fsI	PAPDFISF
V:Part:DI-:act:a:fsL	PAPDFLSF
V:Part:DI-:act:a:fsN	PAPDFNSF
V:Part:DI-:act:a:msA	PAPDMASF
V:Part:DI-:act:a:msD	PAPDMDSF
V:Part:DI-:act:a:msG	PAPDMGSF
V:Part:DI-:act:a:msI	PAPDMISF
V:Part:DI-:act:a:msL	PAPDMLSF
V:Part:DI-:act:a:msN	PAPDMNSF
V:Part:DI-:act:a:nsA	PAPDNASF
V:Part:DI-:act:a:nsD	PAPDNDSF
V:Part:DI-:act:a:nsG	PAPDNGSF
V:Part:DI-:act:a:nsI	PAPDNISF
V:Part:DI-:act:a:nsL	PAPDNLSF
V:Part:DI-:act:a:nsN	PAPDNNSF
	
V:Part:DI+:act:a:0pA	PAPDXAPF
V:Part:DI+:act:a:0pD	PAPDXDPF
V:Part:DI+:act:a:0pG	PAPDXGPF
V:Part:DI+:act:a:0pI	PAPDXIPF
V:Part:DI+:act:a:0pL	PAPDXLPF
V:Part:DI+:act:a:0pN	PAPDXNPF
V:Part:DI+:act:a:fsA	PAPDFASF
V:Part:DI+:act:a:fsD	PAPDFDSF
V:Part:DI+:act:a:fsG	PAPDFGSF
V:Part:DI+:act:a:fsI	PAPDFISF
V:Part:DI+:act:a:fsL	PAPDFLSF
V:Part:DI+:act:a:fsN	PAPDFNSF
V:Part:DI+:act:a:msA	PAPDMASF
V:Part:DI+:act:a:msD	PAPDMDSF
V:Part:DI+:act:a:msG	PAPDMGSF
V:Part:DI+:act:a:msI	PAPDMISF
V:Part:DI+:act:a:msL	PAPDMLSF
V:Part:DI+:act:a:msN	PAPDMNSF
V:Part:DI+:act:a:nsA	PAPDNASF
V:Part:DI+:act:a:nsD	PAPDNDSF
V:Part:DI+:act:a:nsG	PAPDNGSF
V:Part:DI+:act:a:nsI	PAPDNISF
V:Part:DI+:act:a:nsL	PAPDNLSF
V:Part:DI+:act:a:nsN	PAPDNNSF
	
V:Part:DT-:act:a:0pA	PAPDXAPF
V:Part:DT-:act:a:0pD	PAPDXDPF
V:Part:DT-:act:a:0pG	PAPDXGPF
V:Part:DT-:act:a:0pI	PAPDXIPF
V:Part:DT-:act:a:0pL	PAPDXLPF
V:Part:DT-:act:a:0pN	PAPDXNPF
V:Part:DT-:act:a:fsA	PAPDFASF
V:Part:DT-:act:a:fsD	PAPDFDSF
V:Part:DT-:act:a:fsG	PAPDFGSF
V:Part:DT-:act:a:fsI	PAPDFISF
V:Part:DT-:act:a:fsL	PAPDFLSF
V:Part:DT-:act:a:fsN	PAPDFNSF
V:Part:DT-:act:a:msA	PAPDMASF
V:Part:DT-:act:a:msD	PAPDMDSF
V:Part:DT-:act:a:msG	PAPDMGSF
V:Part:DT-:act:a:msI	PAPDMISF
V:Part:DT-:act:a:msL	PAPDMLSF
V:Part:DT-:act:a:msN	PAPDMNSF
V:Part:DT-:act:a:nsA	PAPDNASF
V:Part:DT-:act:a:nsD	PAPDNDSF
V:Part:DT-:act:a:nsG	PAPDNGSF
V:Part:DT-:act:a:nsI	PAPDNISF
V:Part:DT-:act:a:nsL	PAPDNLSF
V:Part:DT-:act:a:nsN	PAPDNNSF
	
V:Part:ID-:act:a:0pA	PAPIXAPF
V:Part:ID-:act:a:0pD	PAPIXDPF
V:Part:ID-:act:a:0pG	PAPIXGPF
V:Part:ID-:act:a:0pI	PAPIXIPF
V:Part:ID-:act:a:0pL	PAPIXLPF
V:Part:ID-:act:a:0pN	PAPIXNPF
V:Part:ID-:act:a:fsA	PAPIFASF
V:Part:ID-:act:a:fsD	PAPIFDSF
V:Part:ID-:act:a:fsG	PAPIFGSF
V:Part:ID-:act:a:fsI	PAPIFISF
V:Part:ID-:act:a:fsL	PAPIFLSF
V:Part:ID-:act:a:fsN	PAPIFNSF
V:Part:ID-:act:a:msA	PAPIMASF
V:Part:ID-:act:a:msD	PAPIMDSF
V:Part:ID-:act:a:msG	PAPIMGSF
V:Part:ID-:act:a:msI	PAPIMISF
V:Part:ID-:act:a:msL	PAPIMLSF
V:Part:ID-:act:a:msN	PAPIMNSF
V:Part:ID-:act:a:nsA	PAPINASF
V:Part:ID-:act:a:nsD	PAPINDSF
V:Part:ID-:act:a:nsG	PAPINGSF
V:Part:ID-:act:a:nsI	PAPINISF
V:Part:ID-:act:a:nsL	PAPINLSF
V:Part:ID-:act:a:nsN	PAPINNSF
	
V:Part:II-:act:a:0pA	PAPIXAPF
V:Part:II-:act:a:0pD	PAPIXDPF
V:Part:II-:act:a:0pG	PAPIXGPF
V:Part:II-:act:a:0pI	PAPIXIPF
V:Part:II-:act:a:0pL	PAPIXLPF
V:Part:II-:act:a:0pN	PAPIXNPF
V:Part:II-:act:a:fsA	PAPIFASF
V:Part:II-:act:a:fsD	PAPIFDSF
V:Part:II-:act:a:fsG	PAPIFGSF
V:Part:II-:act:a:fsI	PAPIFISF
V:Part:II-:act:a:fsL	PAPIFLSF
V:Part:II-:act:a:fsN	PAPIFNSF
V:Part:II-:act:a:msA	PAPIMASF
V:Part:II-:act:a:msD	PAPIMDSF
V:Part:II-:act:a:msG	PAPIMGSF
V:Part:II-:act:a:msI	PAPIMISF
V:Part:II-:act:a:msL	PAPIMLSF
V:Part:II-:act:a:msN	PAPIMNSF
V:Part:II-:act:a:nsA	PAPINASF
V:Part:II-:act:a:nsD	PAPINDSF
V:Part:II-:act:a:nsG	PAPINGSF
V:Part:II-:act:a:nsI	PAPINISF
V:Part:II-:act:a:nsL	PAPINLSF
V:Part:II-:act:a:nsN	PAPINNSF
	
V:Part:II+:act:a:0pA	PAPIXAPF
V:Part:II+:act:a:0pD	PAPIXDPF
V:Part:II+:act:a:0pG	PAPIXGPF
V:Part:II+:act:a:0pI	PAPIXIPF
V:Part:II+:act:a:0pL	PAPIXLPF
V:Part:II+:act:a:0pN	PAPIXNPF
V:Part:II+:act:a:fsA	PAPIFASF
V:Part:II+:act:a:fsD	PAPIFDSF
V:Part:II+:act:a:fsG	PAPIFGSF
V:Part:II+:act:a:fsI	PAPIFISF
V:Part:II+:act:a:fsL	PAPIFLSF
V:Part:II+:act:a:fsN	PAPIFNSF
V:Part:II+:act:a:msA	PAPIMASF
V:Part:II+:act:a:msD	PAPIMDSF
V:Part:II+:act:a:msG	PAPIMGSF
V:Part:II+:act:a:msI	PAPIMISF
V:Part:II+:act:a:msL	PAPIMLSF
V:Part:II+:act:a:msN	PAPIMNSF
V:Part:II+:act:a:nsA	PAPINASF
V:Part:II+:act:a:nsD	PAPINDSF
V:Part:II+:act:a:nsG	PAPINGSF
V:Part:II+:act:a:nsI	PAPINISF
V:Part:II+:act:a:nsL	PAPINLSF
V:Part:II+:act:a:nsN	PAPINNSF
	
V:Part:IT-:act:a:0pA	PAPIXAPF
V:Part:IT-:act:a:0pD	PAPIXDPF
V:Part:IT-:act:a:0pG	PAPIXGPF
V:Part:IT-:act:a:0pI	PAPIXIPF
V:Part:IT-:act:a:0pL	PAPIXLPF
V:Part:IT-:act:a:0pN	PAPIXNPF
V:Part:IT-:act:a:fsA	PAPIFASF
V:Part:IT-:act:a:fsD	PAPIFDSF
V:Part:IT-:act:a:fsG	PAPIFGSF
V:Part:IT-:act:a:fsI	PAPIFISF
V:Part:IT-:act:a:fsL	PAPIFLSF
V:Part:IT-:act:a:fsN	PAPIFNSF
V:Part:IT-:act:a:msA	PAPIMASF
V:Part:IT-:act:a:msD	PAPIMDSF
V:Part:IT-:act:a:msG	PAPIMGSF
V:Part:IT-:act:a:msI	PAPIMISF
V:Part:IT-:act:a:msL	PAPIMLSF
V:Part:IT-:act:a:msN	PAPIMNSF
V:Part:IT-:act:a:nsA	PAPINASF
V:Part:IT-:act:a:nsD	PAPINDSF
V:Part:IT-:act:a:nsG	PAPINGSF
V:Part:IT-:act:a:nsI	PAPINISF
V:Part:IT-:act:a:nsL	PAPINLSF
V:Part:IT-:act:a:nsN	PAPINNSF
	
V:Part:IT+:act:a:0pA	PAPIXAPF
V:Part:IT+:act:a:0pD	PAPIXDPF
V:Part:IT+:act:a:0pG	PAPIXGPF
V:Part:IT+:act:a:0pI	PAPIXIPF
V:Part:IT+:act:a:0pL	PAPIXLPF
V:Part:IT+:act:a:0pN	PAPIXNPF
V:Part:IT+:act:a:fsA	PAPIFASF
V:Part:IT+:act:a:fsD	PAPIFDSF
V:Part:IT+:act:a:fsG	PAPIFGSF
V:Part:IT+:act:a:fsI	PAPIFISF
V:Part:IT+:act:a:fsL	PAPIFLSF
V:Part:IT+:act:a:fsN	PAPIFNSF
V:Part:IT+:act:a:msA	PAPIMASF
V:Part:IT+:act:a:msD	PAPIMDSF
V:Part:IT+:act:a:msG	PAPIMGSF
V:Part:IT+:act:a:msI	PAPIMISF
V:Part:IT+:act:a:msL	PAPIMLSF
V:Part:IT+:act:a:msN	PAPIMNSF
V:Part:IT+:act:a:nsA	PAPINASF
V:Part:IT+:act:a:nsD	PAPINDSF
V:Part:IT+:act:a:nsG	PAPINGSF
V:Part:IT+:act:a:nsI	PAPINISF
V:Part:IT+:act:a:nsL	PAPINLSF
V:Part:IT+:act:a:nsN	PAPINNSF
	
V:Part:PD-:act:a:0pA	PAPPXAPF
V:Part:PD-:act:a:0pD	PAPPXDPF
V:Part:PD-:act:a:0pG	PAPPXGPF
V:Part:PD-:act:a:0pI	PAPPXIPF
V:Part:PD-:act:a:0pL	PAPPXLPF
V:Part:PD-:act:a:0pN	PAPPXNPF
V:Part:PD-:act:a:fsA	PAPPFASF
V:Part:PD-:act:a:fsD	PAPPFDSF
V:Part:PD-:act:a:fsG	PAPPFGSF
V:Part:PD-:act:a:fsI	PAPPFISF
V:Part:PD-:act:a:fsL	PAPPFLSF
V:Part:PD-:act:a:fsN	PAPPFNSF
V:Part:PD-:act:a:msA	PAPPMASF
V:Part:PD-:act:a:msD	PAPPMDSF
V:Part:PD-:act:a:msG	PAPPMGSF
V:Part:PD-:act:a:msI	PAPPMISF
V:Part:PD-:act:a:msL	PAPPMLSF
V:Part:PD-:act:a:msN	PAPPMNSF
V:Part:PD-:act:a:nsA	PAPPNASF
V:Part:PD-:act:a:nsD	PAPPNDSF
V:Part:PD-:act:a:nsG	PAPPNGSF
V:Part:PD-:act:a:nsI	PAPPNISF
V:Part:PD-:act:a:nsL	PAPPNLSF
V:Part:PD-:act:a:nsN	PAPPNNSF
	
V:Part:PI-:act:a:0pA	PAPPXAPF
V:Part:PI-:act:a:0pD	PAPPXDPF
V:Part:PI-:act:a:0pG	PAPPXGPF
V:Part:PI-:act:a:0pI	PAPPXIPF
V:Part:PI-:act:a:0pL	PAPPXLPF
V:Part:PI-:act:a:0pN	PAPPXNPF
V:Part:PI-:act:a:fsA	PAPPFASF
V:Part:PI-:act:a:fsD	PAPPFDSF
V:Part:PI-:act:a:fsG	PAPPFGSF
V:Part:PI-:act:a:fsI	PAPPFISF
V:Part:PI-:act:a:fsL	PAPPFLSF
V:Part:PI-:act:a:fsN	PAPPFNSF
V:Part:PI-:act:a:msA	PAPPMASF
V:Part:PI-:act:a:msD	PAPPMDSF
V:Part:PI-:act:a:msG	PAPPMGSF
V:Part:PI-:act:a:msI	PAPPMISF
V:Part:PI-:act:a:msL	PAPPMLSF
V:Part:PI-:act:a:msN	PAPPMNSF
V:Part:PI-:act:a:nsA	PAPPNASF
V:Part:PI-:act:a:nsD	PAPPNDSF
V:Part:PI-:act:a:nsG	PAPPNGSF
V:Part:PI-:act:a:nsI	PAPPNISF
V:Part:PI-:act:a:nsL	PAPPNLSF
V:Part:PI-:act:a:nsN	PAPPNNSF
	
V:Part:PI+:act:a:0pA	PAPPXAPF
V:Part:PI+:act:a:0pD	PAPPXDPF
V:Part:PI+:act:a:0pG	PAPPXGPF
V:Part:PI+:act:a:0pI	PAPPXIPF
V:Part:PI+:act:a:0pL	PAPPXLPF
V:Part:PI+:act:a:0pN	PAPPXNPF
V:Part:PI+:act:a:fsA	PAPPFASF
V:Part:PI+:act:a:fsD	PAPPFDSF
V:Part:PI+:act:a:fsG	PAPPFGSF
V:Part:PI+:act:a:fsI	PAPPFISF
V:Part:PI+:act:a:fsL	PAPPFLSF
V:Part:PI+:act:a:fsN	PAPPFNSF
V:Part:PI+:act:a:msA	PAPPMASF
V:Part:PI+:act:a:msD	PAPPMDSF
V:Part:PI+:act:a:msG	PAPPMGSF
V:Part:PI+:act:a:msI	PAPPMISF
V:Part:PI+:act:a:msL	PAPPMLSF
V:Part:PI+:act:a:msN	PAPPMNSF
V:Part:PI+:act:a:nsA	PAPPNASF
V:Part:PI+:act:a:nsD	PAPPNDSF
V:Part:PI+:act:a:nsG	PAPPNGSF
V:Part:PI+:act:a:nsI	PAPPNISF
V:Part:PI+:act:a:nsL	PAPPNLSF
V:Part:PI+:act:a:nsN	PAPPNNSF
	
V:Part:PT-:act:a:0pA	PAPPXAPF
V:Part:PT-:act:a:0pD	PAPPXDPF
V:Part:PT-:act:a:0pG	PAPPXGPF
V:Part:PT-:act:a:0pI	PAPPXIPF
V:Part:PT-:act:a:0pL	PAPPXLPF
V:Part:PT-:act:a:0pN	PAPPXNPF
V:Part:PT-:act:a:fsA	PAPPFASF
V:Part:PT-:act:a:fsD	PAPPFDSF
V:Part:PT-:act:a:fsG	PAPPFGSF
V:Part:PT-:act:a:fsI	PAPPFISF
V:Part:PT-:act:a:fsL	PAPPFLSF
V:Part:PT-:act:a:fsN	PAPPFNSF
V:Part:PT-:act:a:msA	PAPPMASF
V:Part:PT-:act:a:msD	PAPPMDSF
V:Part:PT-:act:a:msG	PAPPMGSF
V:Part:PT-:act:a:msI	PAPPMISF
V:Part:PT-:act:a:msL	PAPPMLSF
V:Part:PT-:act:a:msN	PAPPMNSF
V:Part:PT-:act:a:nsA	PAPPNASF
V:Part:PT-:act:a:nsD	PAPPNDSF
V:Part:PT-:act:a:nsG	PAPPNGSF
V:Part:PT-:act:a:nsI	PAPPNISF
V:Part:PT-:act:a:nsL	PAPPNLSF
V:Part:PT-:act:a:nsN	PAPPNNSF
	
V:Part:PT+:act:a:0pA	PAPPXAPF
V:Part:PT+:act:a:0pD	PAPPXDPF
V:Part:PT+:act:a:0pG	PAPPXGPF
V:Part:PT+:act:a:0pI	PAPPXIPF
V:Part:PT+:act:a:0pL	PAPPXLPF
V:Part:PT+:act:a:0pN	PAPPXNPF
V:Part:PT+:act:a:fsA	PAPPFASF
V:Part:PT+:act:a:fsD	PAPPFDSF
V:Part:PT+:act:a:fsG	PAPPFGSF
V:Part:PT+:act:a:fsI	PAPPFISF
V:Part:PT+:act:a:fsL	PAPPFLSF
V:Part:PT+:act:a:fsN	PAPPFNSF
V:Part:PT+:act:a:msA	PAPPMASF
V:Part:PT+:act:a:msD	PAPPMDSF
V:Part:PT+:act:a:msG	PAPPMGSF
V:Part:PT+:act:a:msI	PAPPMISF
V:Part:PT+:act:a:msL	PAPPMLSF
V:Part:PT+:act:a:msN	PAPPMNSF
V:Part:PT+:act:a:nsA	PAPPNASF
V:Part:PT+:act:a:nsD	PAPPNDSF
V:Part:PT+:act:a:nsG	PAPPNGSF
V:Part:PT+:act:a:nsI	PAPPNISF
V:Part:PT+:act:a:nsL	PAPPNLSF
V:Part:PT+:act:a:nsN	PAPPNNSF

V:Part:DD-:pass:0pA	PPXDXAPF
V:Part:DD-:pass:0pD	PPXDXDPF
V:Part:DD-:pass:0pG	PPXDXGPF
V:Part:DD-:pass:0pI	PPXDXIPF
V:Part:DD-:pass:0pL	PPXDXLPF
V:Part:DD-:pass:0pN	PPXDXNPF
V:Part:DD-:pass:fsA	PPXDFASF
V:Part:DD-:pass:fsD	PPXDFDSF
V:Part:DD-:pass:fsG	PPXDFGSF
V:Part:DD-:pass:fsI	PPXDFISF
V:Part:DD-:pass:fsL	PPXDFLSF
V:Part:DD-:pass:fsN	PPXDFNSF
V:Part:DD-:pass:msA	PPXDMASF
V:Part:DD-:pass:msD	PPXDMDSF
V:Part:DD-:pass:msG	PPXDMGSF
V:Part:DD-:pass:msI	PPXDMISF
V:Part:DD-:pass:msL	PPXDMLSF
V:Part:DD-:pass:msN	PPXDMNSF
V:Part:DD-:pass:nsA	PPXDNASF
V:Part:DD-:pass:nsD	PPXDNDSF
V:Part:DD-:pass:nsG	PPXDNGSF
V:Part:DD-:pass:nsI	PPXDNISF
V:Part:DD-:pass:nsL	PPXDNLSF
V:Part:DD-:pass:nsN	PPXDNNSF
	
V:Part:DI-:pass:0pA	PPXDXAPF
V:Part:DI-:pass:0pD	PPXDXDPF
V:Part:DI-:pass:0pG	PPXDXGPF
V:Part:DI-:pass:0pI	PPXDXIPF
V:Part:DI-:pass:0pL	PPXDXLPF
V:Part:DI-:pass:0pN	PPXDXNPF
V:Part:DI-:pass:fsA	PPXDFASF
V:Part:DI-:pass:fsD	PPXDFDSF
V:Part:DI-:pass:fsG	PPXDFGSF
V:Part:DI-:pass:fsI	PPXDFISF
V:Part:DI-:pass:fsL	PPXDFLSF
V:Part:DI-:pass:fsN	PPXDFNSF
V:Part:DI-:pass:msA	PPXDMASF
V:Part:DI-:pass:msD	PPXDMDSF
V:Part:DI-:pass:msG	PPXDMGSF
V:Part:DI-:pass:msI	PPXDMISF
V:Part:DI-:pass:msL	PPXDMLSF
V:Part:DI-:pass:msN	PPXDMNSF
V:Part:DI-:pass:nsA	PPXDNASF
V:Part:DI-:pass:nsD	PPXDNDSF
V:Part:DI-:pass:nsG	PPXDNGSF
V:Part:DI-:pass:nsI	PPXDNISF
V:Part:DI-:pass:nsL	PPXDNLSF
V:Part:DI-:pass:nsN	PPXDNNSF
	
